,GSE57577,GSE77003
ACAD9,-0.16261420737710797,-0.42259195045081377
ACADL,-0.45215103918719945,-0.5195187483265604
ACADM,0.15816677054643424,0.041790994198568576
ACADS,0.5432391633555804,-0.04688107179088696
ACADSB,-0.2557164057729131,-0.39754741773200175
ACADVL,-0.032692676350421834,-0.3894449069039565
ACAN,0.5273762072431292,-0.45610097961233276
ACAP1,1.1494826051928642,0.6926678494089127
ACAP2,0.1939239511079731,-0.32961859581260367
ACAP3,0.207374086101896,0.3338077296591977
ACAT1,0.023053146484150133,0.282173753742057
ACAT2,0.18057097472598826,-0.28323976292955777
ACAT3,-0.007865383069495913,0.2573892653932015
